district,mandal,season,crop,records,total_normal_area,total_actual_area,average_normal_area,average_actual_area,cultivation_share
Adilabad,Gadiguda,Kharif,Cow gram,2,12.0,22.0,6.0,11.0,0.000439297124600639
Adilabad,Gadiguda,Kharif,Rice,1,137.0,12.0,137.0,12.0,0.00023961661341853036
Adilabad,Gadiguda,Kharif,Sesamum,1,50.0,9.0,50.0,9.0,0.00017971246006389776
Adilabad,Gadiguda,Kharif,Sugarcane,3,0.0,6.0,0.0,2.0,0.00011980830670926518
Adilabad,Gadiguda,Kharif,Other Non-Food Crops,3,0.0,2.0,0.0,0.6666666666666666,3.9936102236421726e-05
Adilabad,Gadiguda,Kharif,Cow Gram,1,5.0,0.0,5.0,0.0,0.0
Adilabad,Gadiguda,Kharif,Groundnut,3,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Kharif,Horsegram,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Kharif,Mesta,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Kharif,Onion,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Kharif,Onions,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Kharif,Other Oil Seeds,3,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Kharif,Other Pulses,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Kharif,Paddy Rainfed,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Kharif,Potato,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Kharif,Sunflower,3,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Kharif,Tabacco,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Kharif,Tobacco,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Kharif,Turmeric,3,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Gross areas,3,180.0,1083.0,60.0,361.0,0.48543254146122816
Adilabad,Gadiguda,Rabi,Bengalgram,1,31.0,520.0,31.0,520.0,0.23307933662034963
Adilabad,Gadiguda,Rabi,Jowar,3,50.0,339.0,16.666666666666668,113.0,0.15194979829672792
Adilabad,Gadiguda,Rabi,Bengal gram,2,31.0,125.0,15.5,62.5,0.056028686687584046
Adilabad,Gadiguda,Rabi,Wheat,3,24.0,110.0,8.0,36.666666666666664,0.049305244285073956
Adilabad,Gadiguda,Rabi,Maize,3,8.0,39.0,2.6666666666666665,13.0,0.01748095024652622
Adilabad,Gadiguda,Rabi,Other Food Crops,2,44.0,15.0,22.0,7.5,0.006723442402510085
Adilabad,Gadiguda,Rabi,Black gram,3,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Castor,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Chillies,3,4.0,0.0,1.3333333333333333,0.0,0.0
Adilabad,Gadiguda,Rabi,Coriander,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Cotton,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Cow gram,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Green gram,3,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Ground nut,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Groundnut,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Horsegram,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Mesta,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Onion,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Onions,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Other Non Food Crops,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Other Non-Food Crops,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Other Oil Seeds,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Other oil Seeds,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Paddy,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Paddy Irrigated,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Paddy Rainfed,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Potato,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Red gram,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Redgram,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Safflower,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Seasamum,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Seasumum,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Soybean,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Sugarcane,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Sunflower,3,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Tabacco,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Tobacco,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Total Non food crops,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Rabi,Turmeric,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Kharif,Gross areas,2,20062.0,16450.0,10031.0,8225.0,0.29962478598229575
Adilabad,Gudihathnoor,Kharif,Cotton,3,20296.0,15002.0,6765.333333333333,5000.666666666667,0.27325051910677206
Adilabad,Gudihathnoor,Kharif,Gross Area,1,10694.0,11425.0,10694.0,11425.0,0.20809806564423883
Adilabad,Gudihathnoor,Kharif,Soyabean,1,1274.0,3650.0,1274.0,3650.0,0.06648209536993188
